# Verbs with an etymology but no corpus example sentence.
# Generated by the integrate skill (Mode B) from the Phase 4 mined shards.
# Input to the corpus-expansion re-mine: prompts/uses_etymologies.md Phase 5.
#
# reason=no-candidates           the corpus never attests this verb; wants a larger corpus of the
#                                missing register (news / administrative / technical German), not
#                                more of the same literary sources. Re-mine after expansion.
# reason=candidates-none-usable  the corpus has the token but no candidate yielded a sentence. The
#                                third column says why, and the reasons are NOT uniform: some are
#                                nominal-only / homograph-drained / furniture (a corpus-quality
#                                floor), but a real fraction are GENUINE verbal uses rejected only
#                                for exceeding the 55-word ceiling — those are recoverable by
#                                revisiting the ceiling, not by expanding the corpus. Read the note
#                                before deciding the fix; the two-bucket "all nominal" framing in
#                                the Phase 5 brief is coarser than what's actually here.
#
# format: <verb>	<reason>	<subagent note, if any>

antauchen	no-candidates	no candidates; the ~an-~ sense is a hedge — the contact sense fits the shove, but the semantic path from ~tauchen~ „dive“ to „push“ is opaque and no exemplar resembles it.
antippen	no-candidates	no candidates
antragen	no-candidates	no candidates
antrinken	no-candidates	no candidates
anwarten	candidates-none-usable	Sole candidate rejected: in the Nietzsche clause the ~an~ belongs to ~angaffen~ („gaffen Gedanken an“), not to ~anwarten~. The ~an-~ sense is a hedge — the duration sense fits least badly, but no exemplar resembles this verb.
anwerfen	no-candidates	no candidates
anzahlen	no-candidates	no candidates
anzählen	no-candidates	no candidates
aufbacken	no-candidates	no candidates. Also: no ~auf-~ sense covers the renewal value of ~aufbacken~, ~aufwärmen~, ~auffrischen~, ~aufpolieren~ (or of ~aufarbeiten~ „refurbish“); index 0 was taken as nearest. A renewal sense looks like a real gap.
aufbekommen	no-candidates	no candidates
aufbellen	no-candidates	no candidates
aufbiegen	no-candidates	no candidates
aufbieten	no-candidates	no candidates. auf- has no "summon, proclaim" sense among the five; index 0 (lifting, raising) taken as nearest, and the closer carries the reasoning.
aufbinden	candidates-none-usable	Sole candidate rejected: the Luther text carries a verse number ("anziehen 9 und beide") between clauses, one of the corrupt-candidate classes the indexer is meant to drop.
aufbrauchen	no-candidates	no candidates
aufdrehen	no-candidates	no candidates
aufdringen	candidates-none-usable	Sole candidate is the homograph: in the Kafka passage ~aufdrängen~ is the weak infinitive of aufdrängen, not the Konjunktiv II plural of aufdringen. Known accepted outcome, not an indexer fault.
aufeinanderfolgen	no-candidates	no candidates
aufeinanderlegen	no-candidates	no candidates
aufeinanderliegen	no-candidates	no candidates
aufglänzen	candidates-none-usable	Sole candidate is truncated and, at 86 words, far over the 55-word ceiling — a single Nietzsche period. No usable sentence.
aufkleben	no-candidates	no candidates
aufklingen	candidates-none-usable	Sole candidate is a genuine verbal use (Mann, „hier klang er auf“) but runs 57 words, just past the 55-word ceiling.
aufknüpfen	no-candidates	no candidates
aufkochen	no-candidates	no candidates
auflachen	candidates-none-usable	Sole candidate is a genuine verbal use (Kafka, „lachte öfters laut auf“) but runs 62 words, past the 55-word ceiling.
aufleuchten	no-candidates	no candidates
aufmischen	no-candidates	no candidates; auf- as stirring-from-below matches no exemplar closely, sense 0 taken as nearest.
aufnähen	no-candidates	no candidates
aufprägen	no-candidates	no candidates
aufrauchen	no-candidates	no candidates
aufrechnen	no-candidates	no candidates; auf- here is the accounting/enumerative use (aufrechnen, aufzählen, auflisten), which fits no exemplar set cleanly — took the onto-a-surface sense as nearest.
aufreihen	no-candidates	no candidates
aufreiten	no-candidates	no candidates; no exemplar set covers the "form up, take position" use (aufmarschieren, auffahren, aufstellen) — took upward motion as nearest.
aufrollen	no-candidates	no candidates; the winding-onto use (aufwickeln, aufspulen) fits no exemplar set exactly — took the onto-a-surface sense as nearest.
aufrunden	no-candidates	no candidates
aufsaugen	candidates-none-usable	no candidates
aufscheinen	no-candidates	no candidates
aufschießen	no-candidates	no candidates
aufschmelzen	no-candidates	no candidates; the state-loosening use (auftauen, aufweichen, auflösen) fits no exemplar set — took the working-up/reconditioning sense as nearest.
aufschwellen	no-candidates	no candidates
aufsprechen	no-candidates	no candidates. Gloss "chat, talk" is vague and no auf- sense covers an inchoative speech verb; sense 4 (emergence, beginning suddenly) chosen as nearest.
aufspüren	no-candidates	no candidates
aufstreben	no-candidates	no candidates
auftreffen	no-candidates	no candidates
auftrennen	no-candidates	no candidates
aufwaschen	no-candidates	no candidates
aufzahlen	no-candidates	No candidates. No ~auf-~ sense covers additive payment cleanly; picked the upward/building-up sense, since the extra sum piles onto the agreed one.
aufzwingen	no-candidates	No candidates.
ausatmen	no-candidates	No candidates.
ausbedingen	no-candidates	No candidates. The ~aus-~ sense is a hedge: the verb resembles no exemplar closely, and outward extraction from a negotiation was preferred over the completion sense.
ausbeten	no-candidates	Sole candidate rejected: the Luther passage runs three verses together and carries the verse numbers 55 and 56 inline between clauses — the corrupt-candidate class the indexer is meant to drop, but it slipped through at 61 words.
ausbleichen	no-candidates	No candidates.
ausblicken	no-candidates	No candidates.
ausdeuten	no-candidates	No candidates.
ausdienen	no-candidates	No candidates.
ausdrucken	no-candidates	No candidates.
auseinanderbrechen	no-candidates	No candidates.
auseinanderfallen	no-candidates	No candidates.
auseinanderhalten	no-candidates	no candidates
auseinandernehmen	no-candidates	no candidates
auseinanderreißen	no-candidates	no candidates
auseinanderstreben	no-candidates	no candidates
ausfassen	no-candidates	no candidates. Sense picked from the recipient's side of the handing-out sense; the shard's exemplars for that sense are all giver-side, so the fit is by inversion.
ausfechten	no-candidates	no candidates
ausfließen	no-candidates	no candidates
ausfolgen	no-candidates	no candidates. Hedge: the reading's gloss "follow, accompany" does not match the attested Austrian legal verb, which means "hand over, release"; the etymology follows the attested sense. Worth checking the corpus gloss.
ausfällen	candidates-none-usable	All five candidates are the homograph ~ausfallen~ („das Zeugnis fällt aus“, „das Auto fällt aus“), which shares ~fällt aus~ with ~ausfällen~ in the present. No candidate attests the chemical sense; sentence returned null.
ausgreifen	no-candidates	no candidates
ausklingen	no-candidates	no candidates
auskämpfen	no-candidates	no candidates
auslagern	no-candidates	no candidates
auslauten	no-candidates	no candidates
ausleben	candidates-none-usable	no candidates
ausleihen	no-candidates	no candidates
ausleiten	no-candidates	no candidates
ausloben	no-candidates	no candidates
auspfeifen	no-candidates	No candidates. The sense pick is a judgment call: ~auspfeifen~ resembles none of the aus- exemplars closely and was assigned the outward-motion sense on the theatre image of whistling a performer off the stage.
ausprägen	candidates-none-usable	All five candidates are the lexicalized adjective ausgeprägt (stark/gering ausgeprägt), gradable and in two cases comparative- or degree-modified, so none is a verbal use; nulled rather than shipping an adjectival participle.
ausrauchen	no-candidates	No candidates. Sense read as outward motion per the gloss "smoke out"; the completive reading (smoking a pipe to the end) is equally current and would take the thoroughness sense.
ausreisen	no-candidates	no candidates
ausreiten	no-candidates	no candidates
ausrinnen	no-candidates	no candidates
ausrutschen	no-candidates	no candidates
ausrücken	no-candidates	no candidates
ausschauen	no-candidates	no candidates
ausscheißen	no-candidates	no candidates
ausschenken	no-candidates	no candidates
ausschildern	no-candidates	No candidates. Assigned the thoroughness sense, though aus- here arguably belongs to a distinct 'equip throughout with X' sense (cf. ausrüsten, auskleiden) that the sense list does not carry.
ausschleichen	no-candidates	no candidates
ausschweigen	no-candidates	no candidates
ausschwimmen	no-candidates	no candidates
aussparen	candidates-none-usable	Sole candidate is 66 words, one past the 65-word ceiling, and is itself a mis-split joining two sentences at "--"; nulled rather than trimmed. Separately, the privative sense of aus- that this verb needs (excluding from a whole) is not in the sense list; the outward-motion sense was the closest available fit.
ausspeichern	no-candidates	no candidates
aussperren	no-candidates	no candidates. Sense hedged as for aussparen: aus- here is privative (keeping someone outside), which no listed sense covers exactly.
aussterben	candidates-none-usable	Sole candidate is a three-word fragment opening with a stray quotation mark and carrying no subject; rejected as not a sentence.
aussteuern	no-candidates	no candidates
ausstrahlen	candidates-none-usable	Sole candidate is a mis-split fragment: it opens on a dative object with no governing subject or finite main verb. Rejected.
austräumen	no-candidates	no candidates
ausverkaufen	no-candidates	no candidates
auswachsen	no-candidates	no candidates
auswandern	no-candidates	Sole candidate is a genuine verbal use but arrives with raw wiki heading markup and a leading colon ("==== Artikel 112 ==== :Jeder Deutsche …"), so it is not a quotable sentence.
auswaschen	no-candidates	no candidates
auswechseln	no-candidates	no candidates
auswringen	no-candidates	no candidates
autostoppen	no-candidates	no candidates. Neither ~auto~ sense fits: both describe ~Auto~ as an adverbial of means, whereas here the car is what gets stopped (an incorporated object). Sense 0 was spliced as the least wrong; a sense covering object incorporation may be missing.
bankrottgehen	no-candidates	no candidates
beatmen	no-candidates	no candidates
bebauen	candidates-none-usable	Sole candidate has ~bebauten~ as an attributive adjectival participle ("der bebauten Bereiche"), not a verbal use.
bedrucken	no-candidates	no candidates
beehren	no-candidates	no candidates. Sense 3 was picked by exemplar analogy (the furnish-X-with-Y pattern), though its text says the base is a noun or adjective while the shard decomposes on the verb ~ehren~; no sense covers that pattern over a verbal base.
befahren	candidates-none-usable	no candidates
befangen	candidates-none-usable	All candidates are the adjectivalized participle ("sie war ein wenig befangen", "der doch befangen ist"), never a verbal use; the first even carries the degree adverb the brief names as the test.
befüllen	no-candidates	no candidates
behaben	no-candidates	no candidates
behelfen	no-candidates	no candidates
behängen	candidates-none-usable	The one candidate is an adjectival participle: "Behängt mit hässlichen Wahrheiten … und reich an zerrissenen Kleidern" coordinates the participle with the adjective ~reich~, so it fails the predicative-adjective test.
beibleiben	no-candidates	no candidates
beidrehen	no-candidates	no candidates; none of ~bei-~'s three senses covers the nautical "turn into the wind" reading, so sense 0 is the nearest rather than a fit.
beieinanderhalten	no-candidates	no candidates
beigeben	no-candidates	no candidates
beigehen	no-candidates	no candidates; the "set about it" reading is not among ~bei-~'s three senses, so sense 0 is an approximation.
beihelfen	no-candidates	no candidates
beiliegen	no-candidates	No candidates. ~bei-~ has no locative sense ("to be/lie alongside"); sense 0 (placement alongside) used as nearest.
beiordnen	no-candidates	No candidates.
beischlafen	no-candidates	No candidates. ~bei-~ has no locative sense; sense 0 used as nearest.
beiseitehalten	no-candidates	No candidates.
beiseiteschieben	no-candidates	No candidates.
beisetzen	no-candidates	No candidates.
beispringen	no-candidates	No candidates.
beistimmen	no-candidates	No candidates.
bejagen	no-candidates	No candidates.
bekanntmachen	no-candidates	No candidates.
bekochen	no-candidates	No candidates.
belehnen	no-candidates	no candidates
beleihen	no-candidates	no candidates
beliefern	no-candidates	no candidates
belächeln	no-candidates	No candidates.
beregen	no-candidates	no candidates
bereinigen	candidates-none-usable	All five candidates rejected: 0, 2, 3 and 4 are adjectival ~bereinigt~/~bereinigte(n)~ (and 3 and 4 break off at "vom 21."/"vom 22."); candidate 1, the only verbal use, contains the PDF line-break artifact "Bundeszuständig keit".
bereisen	no-candidates	no candidates
bereiterklären	no-candidates	no candidates
bereitlegen	no-candidates	no candidates
beringen	candidates-none-usable	Decomposition is formal only: beringen is denominal from the noun Ring, not from the strong verb ringen, which the root entry itself warns is unrelated. Sole candidate rejected: beringten is an attributive participle (seinen beringten Zeigefinger), not a verbal use.
besaufen	no-candidates	no candidates
beschallen	no-candidates	no candidates
bescheißen	no-candidates	no candidates
beschießen	no-candidates	no candidates
beschlafen	no-candidates	no candidates
beschulen	no-candidates	no candidates
beschweigen	no-candidates	no candidates
beschwingen	no-candidates	no candidates
besichern	no-candidates	no candidates
bespringen	no-candidates	no candidates
bestoßen	no-candidates	no candidates
bestreben	candidates-none-usable	All four candidates are the lexicalized predicative adjective in "bestrebt sein" — gradable, hence adjectival, not a verbal use.
bestürzen	candidates-none-usable	All five candidates are the predicative adjective "bestürzt" (one of them graded with "sehr"), not a verbal use.
betrauen	candidates-none-usable	Candidate 0 is an attributive participle ("die betraute Fachplanung"); candidate 1 opens with an unbalanced protocol interjection and is mis-split. Nothing usable remained.
betrinken	candidates-none-usable	Both candidates are the lexicalized adjective "betrunken" (one graded with "kläglich"), not a verbal use.
betätigen	no-candidates	no candidates
bewandern	no-candidates	no candidates
bewehren	candidates-none-usable	Sole candidate is the gradable predicative participle in "hellebardenartig bewehrt" — an adjectival description of a boat's prow, not a verbal use — and 62 words of Mann besides.
bewenden	no-candidates	no candidates. The verb survives only in "es dabei bewenden lassen," and none of the six be- senses fits it; sense 4 was taken as nearest rather than as a match.
blankziehen	no-candidates	no candidates
blaumachen	no-candidates	no candidates
bleichen	candidates-none-usable	all five candidates are the adjective ~bleich~, not the verb; no genuine verbal use in the pool.
bloßlegen	candidates-none-usable	sole candidate is a 66-word Mann period, above the 65-word ceiling, and its ~bloßgelegt~ is an adjectival participle modifying ~diese~; rejected on both counts.
brachliegen	no-candidates	no candidates
breittreten	no-candidates	no candidates
brinnen	no-candidates	no candidates
dabeihaben	candidates-none-usable	sole candidate is not ~dabeihaben~: its ~dabei~ is a free adverbial with ~Schuld~ and its finite verb is plain ~haben~. No genuine use in the pool.
dagegenhalten	no-candidates	no candidates
dagegenwirken	no-candidates	no candidates
dahaben	no-candidates	no candidates
daherreden	no-candidates	no candidates
daherschwimmen	no-candidates	no candidates
dahinleben	no-candidates	no candidates
dahinschmelzen	no-candidates	no candidates
dahinschwinden	no-candidates	no candidates
dahinterhalten	no-candidates	no candidates
dahinterkommen	candidates-none-usable	Sole candidate (Nietzsche, four words, opening with a dash) is a fragment that cannot stand alone; rejected.
danebenhalten	no-candidates	no candidates
danebenschießen	no-candidates	no candidates
darunterhalten	no-candidates	no candidates
darüberhalten	candidates-none-usable	Sole candidate does not attest the lemma: it is ~etwas für eine Laune halten~ with an unrelated ~darüber~ governed by ~ärgerte sich~. Rejected.
darüberliegen	no-candidates	no candidates
davonreisen	no-candidates	no candidates
davonrennen	candidates-none-usable	Sole candidate is the four-word fragment „Regeln und rennen davon.“, which cannot stand alone; rejected, so no sentence.
davorhalten	no-candidates	no candidates
dazufügen	no-candidates	no candidates
dazwischenkommen	no-candidates	no candidates
dazwischenwerfen	no-candidates	no candidates
dichthalten	no-candidates	no candidates
dichtmachen	no-candidates	no candidates
drangehen	no-candidates	no candidates
drankommen	no-candidates	No candidates. Sense 0 follows the reading's gloss “touch inadvertently”; the far commoner everyday meaning is sense 1, “have one's turn”.
draufdrücken	no-candidates	no candidates
draufgehen	no-candidates	No candidates. None of the three drauf- senses covers the idiomatic “be used up, perish” reading this verb actually has; sense 2 (colloquial register) was picked as the only one true of it. A missing sense, reported as such.
draufhaben	no-candidates	No candidates. Same missing sense as draufgehen: no drauf- sense covers the idiomatic “have mastered” reading; sense 2 (colloquial register) picked as the only true one.
draufhalten	no-candidates	no candidates
draufkommen	no-candidates	no candidates
drauflosarbeiten	no-candidates	no candidates
drauflosfahren	no-candidates	no candidates
drauflosreden	no-candidates	no candidates
draufstehen	no-candidates	no candidates
drunterhalten	no-candidates	no candidates
drüberhalten	no-candidates	no candidates
durchbeißen	no-candidates	no candidates
durchbrennen	no-candidates	no candidates
durchdrehen	no-candidates	no candidates
durcheinanderbringen	candidates-none-usable	Sole candidate ("Sie bringen das eine mit dem anderen durcheinander!)") is a genuine verbal use but is a mis-split Bundestag interjection carrying a stray closing parenthesis, so it was rejected rather than quoted with visible debris.
durcheinanderkommen	no-candidates	no candidates
durchfließen	no-candidates	no candidates
durchfragen	no-candidates	no candidates
durchgeben	no-candidates	no candidates
durchgraben	candidates-none-usable	Sole candidate is Luther's participle ~durchgraben~ without the ~ge-~ infix, i.e. the inseparable half of the separability doublet (the separable participle would be ~durchgegraben~). Rejected; no sentence.
durchgreifen	no-candidates	no candidates
durchhängen	no-candidates	no candidates. Sense 0 is the closest of the three, but „sag“ is downward yielding rather than passage from one side to the other — a plausible missing sense for ~durch-~.
durchklingen	no-candidates	no candidates
durchkriechen	no-candidates	no candidates
durchleiten	no-candidates	no candidates
durchliegen	no-candidates	no candidates
durchmischen	no-candidates	no candidates
durchnehmen	no-candidates	no candidates
durchrinnen	no-candidates	no candidates
durchsagen	no-candidates	no candidates
durchscheinen	candidates-none-usable	Sole candidate has ~durchscheinend~ as an attributive adjective („ein durchscheinend Glas“), not a verbal use; rejected.
durchschlafen	no-candidates	no candidates
durchschneiden	candidates-none-usable	None of the four candidates is a separable verbal use: candidates 1 and 2 are the noun ~Durchschnitt~, candidate 3 is the broken token „durchschnitt liche“, and candidate 0 is the inseparable participle ~durchschnitten~ (separable would be ~durchgeschnitten~).
durchschwimmen	no-candidates	no candidates
durchschütteln	no-candidates	no candidates
durchsehen	no-candidates	Sense picked as thoroughness (durch- 1); the literal 'gaze passes through' reading is also separable and the gloss does not settle which is primary. Both are named in the closer. No candidates, so no sentence.
durchspielen	no-candidates	no candidates
durchstarten	no-candidates	no candidates
durchstechen	candidates-none-usable	No sentence: both candidates are the inseparable durchstéchen — 'durchstach' stands in V2 with the prefix attached, where the separable reading this shard asks for would strand 'durch' at the clause end.
durchsteigen	no-candidates	no candidates
durchstellen	no-candidates	no candidates
durchstreichen	candidates-none-usable	No sentence: the sole candidate ('die Fluten durchstreichen') is the inseparable durchstréichen 'to range through', not the separable 'cross out' this reading glosses.
durchtrennen	no-candidates	no candidates
durchwachsen	no-candidates	no candidates
durchziehen	candidates-none-usable	No sentence: candidates 0, 1 and 4 are the transitive inseparable durchzíehen 'traverse'; the two genuinely separable ones (Mann, Goethe) run 67 and 76 words, past the 65-word ceiling.
durchzählen	no-candidates	no candidates
einarbeiten	no-candidates	no candidates
einbegreifen	no-candidates	no candidates
einbehalten	candidates-none-usable	No sentence: the sole candidate (Westfälischer Friede) is a mis-split — it breaks off at 'die Anzahl nicht vber 1200.' with no finite verb, the number's period having been read as terminal.
einbekennen	no-candidates	be- is lexicalized in bekennen; sense 4 (thoroughness) is the closest of the six but none fits cleanly. No candidates, so no sentence.
einbestellen	no-candidates	be- is no longer analyzable in bestellen; sense 4 is a best-fit rather than a match. No candidates, so no sentence.
einblasen	no-candidates	no candidates
eindecken	no-candidates	no candidates
eindenken	no-candidates	no candidates; the ~ein-~ sense sits between inward motion (chosen) and becoming familiar through practice, since the verb is a single imaginative act rather than a matter of repetition.
eindrehen	no-candidates	no candidates
eindrucken	no-candidates	no candidates
einfahren	candidates-none-usable	All five candidates are the token ~einführen~. That form really is the Konjunktiv II plural of ~einfahren~, so the map is right to list it, but every instance here is the separate verb ~einführen~ ("to introduce"); no candidate attests ~einfahren~.
einfassen	no-candidates	no candidates
einflechten	no-candidates	no candidates
